Variavel,Tratamento,Grupo,Valor
PAM Final (Fv/Fm),Com NaNO3,C0,0.2297
PAM Final (Fv/Fm),Com NaNO3,C0,0.1813
Biomassa Final,Sem NaNO3,C1,0.293
Biomassa Final,Sem NaNO3,C1,0.08
Biomassa Final,Sem NaNO3,C1,0.165
Biomassa Final,Sem NaNO3,C1,0.227
Biomassa Final,Sem NaNO3,C1,0.176
Biomassa Final,Sem NaNO3,C1,0.205
Biomassa Final,Sem NaNO3,C1,0.122
Biomassa Final,Sem NaNO3,C1,0.228
Biomassa Final,Sem NaNO3,C1,0.249
Biomassa Final,Sem NaNO3,C1,0.141
Biomassa Final,Com NaNO3,C1,0.98
Biomassa Final,Com NaNO3,C1,0.146
Biomassa Final,Com NaNO3,C1,0.844
Biomassa Final,Com NaNO3,C1,0.223
Biomassa Final,Com NaNO3,C1,0.617
Biomassa Final,Com NaNO3,C1,0.742
Biomassa Final,Com NaNO3,C1,0.098
Biomassa Final,Com NaNO3,C1,0.2
Biomassa Final,Com NaNO3,C1,0.312
Biomassa Final,Com NaNO3,C1,0.108
PAM Final (Fv/Fm),Sem NaNO3,C1,0.4267
PAM Final (Fv/Fm),Sem NaNO3,C1,0.1937
PAM Final (Fv/Fm),Sem NaNO3,C1,0.2633
PAM Final (Fv/Fm),Sem NaNO3,C1,0.1837
PAM Final (Fv/Fm),Sem NaNO3,C1,0.241
PAM Final (Fv/Fm),Sem NaNO3,C1,0.185
PAM Final (Fv/Fm),Sem NaNO3,C1,0.1963
PAM Final (Fv/Fm),Sem NaNO3,C1,0.1923
PAM Final (Fv/Fm),Sem NaNO3,C1,0.1823
PAM Final (Fv/Fm),Sem NaNO3,C1,0.1563
PAM Final (Fv/Fm),Com NaNO3,C1,0.6087
PAM Final (Fv/Fm),Com NaNO3,C1,0.532
PAM Final (Fv/Fm),Com NaNO3,C1,0.562
PAM Final (Fv/Fm),Com NaNO3,C1,0.5833
PAM Final (Fv/Fm),Com NaNO3,C1,0.5803
PAM Final (Fv/Fm),Com NaNO3,C1,0.6003
PAM Final (Fv/Fm),Com NaNO3,C1,0.4917
PAM Final (Fv/Fm),Com NaNO3,C1,0.2217
PAM Final (Fv/Fm),Com NaNO3,C1,0.7073
PAM Final (Fv/Fm),Com NaNO3,C1,0.5257
Biomassa Final,Sem NaNO3,C2,0.199
Biomassa Final,Sem NaNO3,C2,0.091
Biomassa Final,Sem NaNO3,C2,0.21
Biomassa Final,Sem NaNO3,C2,0.431
Biomassa Final,Sem NaNO3,C2,0.152
Biomassa Final,Sem NaNO3,C2,0.26
Biomassa Final,Sem NaNO3,C2,0.132
Biomassa Final,Sem NaNO3,C2,0.377
Biomassa Final,Sem NaNO3,C2,0.198
Biomassa Final,Sem NaNO3,C2,0.279
Biomassa Final,Com NaNO3,C2,0.058
Biomassa Final,Com NaNO3,C2,0.066
Biomassa Final,Com NaNO3,C2,0.313
Biomassa Final,Com NaNO3,C2,1.16
Biomassa Final,Com NaNO3,C2,0.184
Biomassa Final,Com NaNO3,C2,0.52
Biomassa Final,Com NaNO3,C2,0.024
Biomassa Final,Com NaNO3,C2,0.947
Biomassa Final,Com NaNO3,C2,0.112
Biomassa Final,Com NaNO3,C2,0.121
PAM Final (Fv/Fm),Sem NaNO3,C2,0.1243
PAM Final (Fv/Fm),Sem NaNO3,C2,0.2653
PAM Final (Fv/Fm),Sem NaNO3,C2,0.246
PAM Final (Fv/Fm),Sem NaNO3,C2,0.266
PAM Final (Fv/Fm),Sem NaNO3,C2,0.2443
PAM Final (Fv/Fm),Sem NaNO3,C2,0.336
PAM Final (Fv/Fm),Sem NaNO3,C2,0.2453
PAM Final (Fv/Fm),Sem NaNO3,C2,0.112
PAM Final (Fv/Fm),Sem NaNO3,C2,0.276
PAM Final (Fv/Fm),Sem NaNO3,C2,0.4097
PAM Final (Fv/Fm),Com NaNO3,C2,0.5417
PAM Final (Fv/Fm),Com NaNO3,C2,0.6323
PAM Final (Fv/Fm),Com NaNO3,C2,0.583
PAM Final (Fv/Fm),Com NaNO3,C2,0.5327
PAM Final (Fv/Fm),Com NaNO3,C2,0.5017
PAM Final (Fv/Fm),Com NaNO3,C2,0.6277
PAM Final (Fv/Fm),Com NaNO3,C2,0.2233
PAM Final (Fv/Fm),Com NaNO3,C2,0.5783
PAM Final (Fv/Fm),Com NaNO3,C2,0.148
PAM Final (Fv/Fm),Com NaNO3,C2,0.2663
Biomassa Final,Sem NaNO3,C3,0.101
Biomassa Final,Sem NaNO3,C3,0.237
Biomassa Final,Sem NaNO3,C3,0.56
Biomassa Final,Sem NaNO3,C3,0.358
Biomassa Final,Sem NaNO3,C3,0.339
Biomassa Final,Sem NaNO3,C3,0.292
Biomassa Final,Sem NaNO3,C3,0.239
Biomassa Final,Sem NaNO3,C3,0.376
Biomassa Final,Sem NaNO3,C3,0.099
Biomassa Final,Sem NaNO3,C3,0.722
Biomassa Final,Com NaNO3,C3,0.216
Biomassa Final,Com NaNO3,C3,1.561
Biomassa Final,Com NaNO3,C3,1.84
Biomassa Final,Com NaNO3,C3,1.713
Biomassa Final,Com NaNO3,C3,0.382
Biomassa Final,Com NaNO3,C3,0.312
Biomassa Final,Com NaNO3,C3,0.294
Biomassa Final,Com NaNO3,C3,0.283
Biomassa Final,Com NaNO3,C3,0.065
Biomassa Final,Com NaNO3,C3,1.671
PAM Final (Fv/Fm),Sem NaNO3,C3,0.2907
PAM Final (Fv/Fm),Sem NaNO3,C3,0.3417
PAM Final (Fv/Fm),Sem NaNO3,C3,0.112
PAM Final (Fv/Fm),Sem NaNO3,C3,0.276
PAM Final (Fv/Fm),Sem NaNO3,C3,0.222
PAM Final (Fv/Fm),Sem NaNO3,C3,0.4097
PAM Final (Fv/Fm),Sem NaNO3,C3,0.1957
PAM Final (Fv/Fm),Sem NaNO3,C3,0.1823
PAM Final (Fv/Fm),Sem NaNO3,C3,0.1563
PAM Final (Fv/Fm),Sem NaNO3,C3,0.6143
PAM Final (Fv/Fm),Com NaNO3,C3,0.295
PAM Final (Fv/Fm),Com NaNO3,C3,0.4313
PAM Final (Fv/Fm),Com NaNO3,C3,0.5587
PAM Final (Fv/Fm),Com NaNO3,C3,0.5643
PAM Final (Fv/Fm),Com NaNO3,C3,0.3943
PAM Final (Fv/Fm),Com NaNO3,C3,0.339
PAM Final (Fv/Fm),Com NaNO3,C3,0.3333
PAM Final (Fv/Fm),Com NaNO3,C3,0.3013
PAM Final (Fv/Fm),Com NaNO3,C3,0.4387
PAM Final (Fv/Fm),Com NaNO3,C3,0.668
